"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Ish Harris",NA,"6-2",205,89,NA,NA,NA,NA,"LB",2023,"houston","Transfer",2
"A.J. Haulcy",NA,"5-11",220,88,NA,NA,NA,NA,"S",2023,"houston","Transfer",6
"Donovan Smith",NA,"6-4",192,87,NA,NA,NA,NA,"QB",2023,"houston","Transfer",5
"Jaylen Garth",NA,"6-5",284,86,NA,NA,NA,NA,"OT",2023,"houston","Transfer",5
"Jayshon Ridgle","Athens (Athens, AL)","6-0",204,91,NA,13,16,"AL","ATH",2024,"houston","Commit",1
"J'Marion Burnette","Andalusia (Andalusia, AL)","6-1",220,90,NA,19,22,"AL","RB",2024,"houston","Commit",2
"Maurice Williams II","Shadow Creek (Pearland, TX)","6-0",200,89,NA,39,60,"TX","S",2024,"houston","Commit",3
"Koby Young","Holy Cross (New Orleans, LA)","5-11",175,88,NA,104,21,"LA","WR",2024,"houston","Commit",8
"Darius Washington","Lake Ridge (Mansfield, TX)","6-5",235,88,NA,94,109,"TX","DL",2024,"houston","Commit",8
"Traville Frederick Jr.","Jeanerette (Jeanerette, LA)","6-3",228,87,NA,50,30,"LA","TE",2024,"houston","Commit",8
"Derek Joiner","Grandview (Grandview, MO)","6-3",285,87,NA,79,21,"MO","IOL",2024,"houston","Commit",8
"Ray'Quan Bell","Westfield (Houston, TX)","6-4",305,86,NA,106,176,"TX","IOL",2024,"houston","Commit",7
"Xavier Stillman","Hutchinson C.C. (Hutchinson, KS)","6-3",305,86,48,13,14,"KS","DL",2024,"houston","Commit",7
"Larry Crawford","Georgia Military (Milledgeville, GA)","6-4",275,86,62,5,1,"GA","IOL",2024,"houston","Commit",7
"Ronnell McLain","DeSoto (DeSoto, TX)","6-4",310,85,NA,123,214,"TX","IOL",2024,"houston","Commit",4
"DJ Butler","WP Davidson (Mobile, AL)","6-0",185,85,NA,105,82,"AL","RB",2024,"houston","Commit",4
"Zion Taylor","Shadow Creek (Pearland, TX)","6-1",240,84,NA,145,299,"TX","Edge",2024,"houston","Commit",6
"Kaleb Thomas","North Shore (Houston, TX)","6-3",225,84,NA,107,311,"TX","TE",2024,"houston","Commit",6
"Hingano Hautau","Foothill College (Los Altos, CA)","6-6",325,83,128,12,25,"CA","OT",2024,"houston","Commit",2
"Demarcus Johnson","Fort Bend Marshall (Missouri City, TX)","6-7",250,88,NA,95,110,"TX","DL",2024,"houston","Commit",8
"Sam Secrest",NA,"6-6",305,83,NA,NA,NA,NA,"IOL",2024,"houston","Transfer",2
"JD Rhym",NA,"6-1",178,87,NA,NA,NA,NA,"CB",2024,"houston","Transfer",8
"Devan Williams",NA,"6-1",192,87,NA,NA,NA,NA,"WR",2024,"houston","Transfer",8
"Marquis Shoulders",NA,"5-9",170,86,NA,NA,NA,NA,"WR",2024,"houston","Transfer",7
"Christian Brathwaite",NA,"6-1",218,88,NA,NA,NA,NA,"LB",2024,"houston","Transfer",8
"Bryan Massey",NA,"5-11",188,84,NA,NA,NA,NA,"CB",2024,"houston","Transfer",6
"Carlos Allen Jr.",NA,"6-0",290,85,NA,NA,NA,NA,"DL",2024,"houston","Transfer",4
"Zeon Chriss",NA,"6-2",209,88,NA,NA,NA,NA,"QB",2024,"houston","Transfer",8
"Jeremiah Wilson",NA,"5-10",179,88,NA,NA,NA,NA,"CB",2024,"houston","Transfer",8
"Quindario Lee",NA,"6-5",280,87,NA,NA,NA,NA,"DL",2024,"houston","Transfer",8
"Mekhi Mews",NA,"5-8",185,87,NA,NA,NA,NA,"WR",2024,"houston","Transfer",8
"Hershey McLaurin",NA,"6-1",214,88,NA,NA,NA,NA,"S",2024,"houston","Transfer",8
"Maliq Carr",NA,"6-6",260,89,NA,NA,NA,NA,"TE",2024,"houston","Transfer",3
"Jayden York",NA,"6-4",250,84,NA,NA,NA,NA,"TE",2024,"houston","Transfer",6
"Teagan Wilk",NA,"5-11",187,86,NA,NA,NA,NA,"S",2024,"houston","Transfer",7
"Cedric Melton",NA,"6-5",300,84,NA,NA,NA,NA,"OT",2024,"houston","Transfer",6
"Kentrell Webb",NA,"5-11",185,87,NA,NA,NA,NA,"S",2024,"houston","Transfer",8
"Michael Batton",NA,"6-2",215,84,NA,NA,NA,NA,"LB",2024,"houston","Transfer",6
"Jake Wiley",NA,"6-6",310,86,NA,NA,NA,NA,"IOL",2024,"houston","Transfer",7
"Kriston Davis",NA,"6-2",180,88,NA,NA,NA,NA,"CB",2024,"houston","Transfer",8
"Keith Cooper Jr.",NA,"6-5",275,87,NA,NA,NA,NA,"DL",2024,"houston","Transfer",8
"Everitt Rogers",NA,"6-1",298,86,NA,NA,NA,NA,"DL",2024,"houston","Transfer",7
"Kendre Gant",NA,"6-4",222,89,NA,NA,NA,NA,"LB",2024,"houston","Transfer",3
"Dakota White",NA,"6-4",305,85,NA,NA,NA,NA,"IOL",2024,"houston","Transfer",4
"Corey Platt Jr.",NA,"6-1",215,90,NA,NA,NA,NA,"LB",2024,"houston","Transfer",2
"Travis Buhake","Mansfield Summit (Arlington, TX)","6-2",255,94,117,15,24,"TX","DL",2025,"houston","Commit",1
"Demetris Dean II","Jasper (Jasper, TX)","6-4",280,91,NA,28,37,"TX","OT",2025,"houston","Commit",2
"Zaylen Cormier","Heights (Houston, TX)","5-11",180,89,NA,27,66,"TX","WR",2025,"houston","Commit",4
"Kenzy West","Hartfield Academy (Flowood, MS)","6-0.5",185,89,NA,28,17,"MS","ATH",2025,"houston","Commit",4
"Jacory Thurman","Worthing (Houston, TX)","6-3",225,88,NA,35,81,"TX","TE",2025,"houston","Commit",4
"Austin Carlisle","Ridge Point (Missouri City, TX)","5-10.5",185,88,NA,40,86,"TX","QB",2025,"houston","Commit",4
"Reshad Sterling","Lutcher (Lutcher, LA)","6-2.5",225,88,NA,55,23,"LA","Edge",2025,"houston","Commit",4
"Eythan Thompson","La Vega (Waco, TX)","6-3",310,87,NA,65,119,"TX","DL",2025,"houston","Commit",7
