"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Kaleb Black","Klein Oak (Spring, TX)","5-9",165,83,NA,278,297,"TX","WR",2023,"arizona-state","Commit",3
"Lenox Lawson","Red Mountain (Mesa, AZ)","5-11",175,83,NA,284,27,"AZ","WR",2023,"arizona-state","Commit",3
"Sirri Kandiyeli","Mountain View (Mesa, AZ)","6-3",270,83,NA,135,28,"AZ","IOL",2023,"arizona-state","Commit",3
"Jordyn Tyson",NA,"6-0",170,91,NA,NA,NA,NA,"WR",2023,"arizona-state","Transfer",1
"Ian Shewell",NA,"6-3",248,84,NA,NA,NA,NA,"DL",2023,"arizona-state","Transfer",4
"Clayton Smith",NA,"6-5",228,89,NA,NA,NA,NA,"Edge",2023,"arizona-state","Transfer",7
"Shamari Simmons",NA,"5-11",165,88,NA,NA,NA,NA,"CB",2023,"arizona-state","Transfer",6
"Dario Longhetto",NA,"6-0",185,79,NA,NA,NA,NA,"K",2023,"arizona-state","Transfer",2
"Dashaun Mallory",NA,"6-3",310,89,NA,NA,NA,NA,"DL",2023,"arizona-state","Transfer",7
"Troy Omeire",NA,"6-3",227,87,NA,NA,NA,NA,"WR",2023,"arizona-state","Transfer",5
"Xavion Alford",NA,"6-0",190,89,NA,NA,NA,NA,"S",2023,"arizona-state","Transfer",7
"Sam Benjamin",NA,"6-5",260,85,NA,NA,NA,NA,"DL",2023,"arizona-state","Transfer",7
"Bram Walden",NA,"6-4",270,89,NA,NA,NA,NA,"OT",2023,"arizona-state","Transfer",7
"Leif Fautanu",NA,"6-2",290,85,NA,NA,NA,NA,"IOL",2023,"arizona-state","Transfer",7
"Xavier Guillory",NA,"6-3",195,89,NA,NA,NA,NA,"WR",2023,"arizona-state","Transfer",7
"Drew Pyne",NA,"6-0",194,88,NA,NA,NA,NA,"QB",2023,"arizona-state","Transfer",6
"Travion Brown",NA,"6-3",230,84,NA,NA,NA,NA,"LB",2023,"arizona-state","Transfer",4
